2024-08-02 09:12:17.570 [info] Reading sessions from keychain...
2024-08-02 09:14:39.353 [info] Got 1 sessions for ...
2024-08-02 09:15:08.604 [info] Getting sessions for all scopes...
2024-08-02 09:15:08.604 [info] Got 1 sessions for ...
2024-08-02 09:15:18.538 [info] Getting sessions for all scopes...
2024-08-02 09:15:18.538 [info] Got 1 sessions for ...
2024-08-02 09:15:57.414 [info] Getting sessions for all scopes...
2024-08-02 09:15:57.415 [info] Got 1 sessions for ...
2024-08-02 09:15:58.706 [info] Getting sessions for all scopes...
2024-08-02 09:15:58.706 [info] Got 1 sessions for ...
2024-08-02 09:16:00.158 [info] Getting sessions for all scopes...
2024-08-02 09:16:00.158 [info] Got 1 sessions for ...
2024-08-02 09:16:00.831 [info] Getting sessions for all scopes...
2024-08-02 09:16:00.831 [info] Got 1 sessions for ...
2024-08-02 09:16:03.176 [info] Getting sessions for all scopes...
2024-08-02 09:16:03.176 [info] Got 1 sessions for ...
2024-08-02 09:16:29.469 [info] Getting sessions for all scopes...
2024-08-02 09:16:29.469 [info] Got 1 sessions for ...
2024-08-02 09:16:30.824 [info] Getting sessions for all scopes...
2024-08-02 09:16:30.824 [info] Got 1 sessions for ...
2024-08-02 09:17:18.905 [info] Getting sessions for all scopes...
2024-08-02 09:17:18.906 [info] Got 1 sessions for ...
2024-08-02 09:17:22.495 [info] Getting sessions for all scopes...
2024-08-02 09:17:22.495 [info] Got 1 sessions for ...
2024-08-02 09:17:44.328 [info] Getting sessions for all scopes...
2024-08-02 09:17:44.328 [info] Got 1 sessions for ...
2024-08-02 09:17:47.562 [info] Getting sessions for all scopes...
2024-08-02 09:17:47.562 [info] Got 1 sessions for ...
2024-08-02 09:18:28.399 [info] Getting sessions for all scopes...
2024-08-02 09:18:28.399 [info] Got 1 sessions for ...
2024-08-02 09:18:29.285 [info] Getting sessions for all scopes...
2024-08-02 09:18:29.285 [info] Got 1 sessions for ...
2024-08-02 09:19:05.021 [info] Getting sessions for all scopes...
2024-08-02 09:19:05.021 [info] Got 1 sessions for ...
2024-08-02 09:19:07.281 [info] Getting sessions for all scopes...
2024-08-02 09:19:07.281 [info] Got 1 sessions for ...
2024-08-02 09:19:22.907 [info] Getting sessions for all scopes...
2024-08-02 09:19:22.907 [info] Got 1 sessions for ...
2024-08-02 09:19:29.501 [info] Getting sessions for all scopes...
2024-08-02 09:19:29.501 [info] Got 1 sessions for ...
2024-08-02 09:19:37.111 [info] Getting sessions for all scopes...
2024-08-02 09:19:37.111 [info] Got 1 sessions for ...
2024-08-02 09:19:44.863 [info] Getting sessions for all scopes...
2024-08-02 09:19:44.863 [info] Got 1 sessions for ...
2024-08-02 09:20:12.712 [info] Getting sessions for all scopes...
2024-08-02 09:20:12.712 [info] Got 1 sessions for ...
2024-08-02 09:20:16.820 [info] Getting sessions for all scopes...
2024-08-02 09:20:16.820 [info] Got 1 sessions for ...
2024-08-02 09:20:22.866 [info] Getting sessions for all scopes...
2024-08-02 09:20:22.866 [info] Got 1 sessions for ...
2024-08-02 09:20:24.467 [info] Getting sessions for all scopes...
2024-08-02 09:20:24.467 [info] Got 1 sessions for ...
2024-08-02 09:20:25.066 [info] Getting sessions for all scopes...
2024-08-02 09:20:25.066 [info] Got 1 sessions for ...
2024-08-02 09:20:39.659 [info] Getting sessions for all scopes...
2024-08-02 09:20:39.659 [info] Got 1 sessions for ...
2024-08-02 09:20:41.014 [info] Getting sessions for all scopes...
2024-08-02 09:20:41.014 [info] Got 1 sessions for ...
2024-08-02 09:20:42.819 [info] Getting sessions for all scopes...
2024-08-02 09:20:42.819 [info] Got 1 sessions for ...
2024-08-02 09:20:43.480 [info] Getting sessions for all scopes...
2024-08-02 09:20:43.480 [info] Got 1 sessions for ...
2024-08-02 09:20:44.136 [info] Getting sessions for all scopes...
2024-08-02 09:20:44.136 [info] Got 1 sessions for ...
2024-08-02 09:20:44.639 [info] Getting sessions for all scopes...
2024-08-02 09:20:44.639 [info] Got 1 sessions for ...
2024-08-02 09:20:50.993 [info] Getting sessions for all scopes...
2024-08-02 09:20:50.993 [info] Got 1 sessions for ...
2024-08-02 09:20:56.084 [info] Getting sessions for all scopes...
2024-08-02 09:20:56.085 [info] Got 1 sessions for ...
2024-08-02 09:20:58.687 [info] Getting sessions for all scopes...
2024-08-02 09:20:58.687 [info] Got 1 sessions for ...
2024-08-02 09:20:59.667 [info] Getting sessions for all scopes...
2024-08-02 09:20:59.667 [info] Got 1 sessions for ...
2024-08-02 09:21:14.151 [info] Getting sessions for all scopes...
2024-08-02 09:21:14.151 [info] Got 1 sessions for ...
2024-08-02 09:21:37.683 [info] Getting sessions for all scopes...
2024-08-02 09:21:37.683 [info] Got 1 sessions for ...
2024-08-02 09:21:45.039 [info] Getting sessions for all scopes...
2024-08-02 09:21:45.039 [info] Got 1 sessions for ...
2024-08-02 09:21:48.890 [info] Getting sessions for all scopes...
2024-08-02 09:21:48.890 [info] Got 1 sessions for ...
2024-08-02 09:21:53.873 [info] Getting sessions for all scopes...
2024-08-02 09:21:53.873 [info] Got 1 sessions for ...
2024-08-02 09:22:25.567 [info] Getting sessions for all scopes...
2024-08-02 09:22:25.567 [info] Got 1 sessions for ...
2024-08-02 09:22:30.002 [info] Getting sessions for all scopes...
2024-08-02 09:22:30.002 [info] Got 1 sessions for ...
2024-08-02 09:22:52.617 [info] Getting sessions for all scopes...
2024-08-02 09:22:52.617 [info] Got 1 sessions for ...
2024-08-02 09:22:58.374 [info] Getting sessions for all scopes...
2024-08-02 09:22:58.374 [info] Got 1 sessions for ...
2024-08-02 09:23:00.125 [info] Getting sessions for all scopes...
2024-08-02 09:23:00.125 [info] Got 1 sessions for ...
2024-08-02 09:23:02.778 [info] Getting sessions for all scopes...
2024-08-02 09:23:02.779 [info] Got 1 sessions for ...
2024-08-02 09:23:12.937 [info] Getting sessions for all scopes...
2024-08-02 09:23:12.938 [info] Got 1 sessions for ...
2024-08-02 09:23:15.056 [info] Getting sessions for all scopes...
2024-08-02 09:23:15.056 [info] Got 1 sessions for ...
2024-08-02 09:23:16.190 [info] Getting sessions for all scopes...
2024-08-02 09:23:16.190 [info] Got 1 sessions for ...
2024-08-02 09:23:55.991 [info] Getting sessions for all scopes...
2024-08-02 09:23:55.991 [info] Got 1 sessions for ...
2024-08-02 09:23:56.992 [info] Getting sessions for all scopes...
2024-08-02 09:23:56.992 [info] Got 1 sessions for ...
2024-08-02 09:23:57.993 [info] Getting sessions for all scopes...
2024-08-02 09:23:57.993 [info] Got 1 sessions for ...
2024-08-02 09:23:58.557 [info] Getting sessions for all scopes...
2024-08-02 09:23:58.557 [info] Got 1 sessions for ...
2024-08-02 09:24:30.291 [info] Getting sessions for all scopes...
2024-08-02 09:24:30.291 [info] Got 1 sessions for ...
2024-08-02 09:24:40.943 [info] Getting sessions for all scopes...
2024-08-02 09:24:40.943 [info] Got 1 sessions for ...
2024-08-02 09:24:50.509 [info] Getting sessions for all scopes...
2024-08-02 09:24:50.509 [info] Got 1 sessions for ...
2024-08-02 09:24:57.513 [info] Getting sessions for all scopes...
2024-08-02 09:24:57.513 [info] Got 1 sessions for ...
2024-08-02 09:25:17.510 [info] Getting sessions for all scopes...
2024-08-02 09:25:17.510 [info] Got 1 sessions for ...
2024-08-02 09:25:22.314 [info] Getting sessions for all scopes...
2024-08-02 09:25:22.314 [info] Got 1 sessions for ...
2024-08-02 09:25:23.915 [info] Getting sessions for all scopes...
2024-08-02 09:25:23.915 [info] Got 1 sessions for ...
2024-08-02 09:25:27.901 [info] Getting sessions for all scopes...
2024-08-02 09:25:27.901 [info] Got 1 sessions for ...
2024-08-02 09:25:34.272 [info] Getting sessions for all scopes...
2024-08-02 09:25:34.272 [info] Got 1 sessions for ...
2024-08-02 09:25:35.017 [info] Getting sessions for all scopes...
2024-08-02 09:25:35.017 [info] Got 1 sessions for ...
2024-08-02 09:26:04.580 [info] Getting sessions for all scopes...
2024-08-02 09:26:04.580 [info] Got 1 sessions for ...
2024-08-02 09:26:09.999 [info] Getting sessions for all scopes...
2024-08-02 09:26:09.999 [info] Got 1 sessions for ...
2024-08-02 09:26:19.716 [info] Getting sessions for all scopes...
2024-08-02 09:26:19.716 [info] Got 1 sessions for ...
2024-08-02 09:26:22.899 [info] Getting sessions for all scopes...
2024-08-02 09:26:22.899 [info] Got 1 sessions for ...
2024-08-02 09:26:27.281 [info] Getting sessions for all scopes...
2024-08-02 09:26:27.281 [info] Got 1 sessions for ...
2024-08-02 09:27:41.522 [info] Getting sessions for all scopes...
2024-08-02 09:27:41.522 [info] Got 1 sessions for ...
2024-08-02 09:27:41.760 [info] Getting sessions for all scopes...
2024-08-02 09:27:41.760 [info] Got 1 sessions for ...
2024-08-02 09:27:54.188 [info] Getting sessions for all scopes...
2024-08-02 09:27:54.188 [info] Got 1 sessions for ...
2024-08-02 09:28:03.870 [info] Getting sessions for all scopes...
2024-08-02 09:28:03.870 [info] Got 1 sessions for ...
2024-08-02 09:28:27.603 [info] Getting sessions for all scopes...
2024-08-02 09:28:27.603 [info] Got 1 sessions for ...
2024-08-02 09:28:33.820 [info] Getting sessions for all scopes...
2024-08-02 09:28:33.820 [info] Got 1 sessions for ...
2024-08-02 09:28:53.305 [info] Getting sessions for all scopes...
2024-08-02 09:28:53.305 [info] Got 1 sessions for ...
2024-08-02 09:28:57.468 [info] Getting sessions for all scopes...
2024-08-02 09:28:57.468 [info] Got 1 sessions for ...
2024-08-02 09:29:00.195 [info] Getting sessions for all scopes...
2024-08-02 09:29:00.195 [info] Got 1 sessions for ...
2024-08-02 09:29:12.559 [info] Getting sessions for all scopes...
2024-08-02 09:29:12.559 [info] Got 1 sessions for ...
2024-08-02 09:29:14.089 [info] Getting sessions for all scopes...
2024-08-02 09:29:14.089 [info] Got 1 sessions for ...
2024-08-02 09:29:21.990 [info] Getting sessions for all scopes...
2024-08-02 09:29:21.990 [info] Got 1 sessions for ...
2024-08-02 09:29:55.840 [info] Getting sessions for all scopes...
2024-08-02 09:29:55.840 [info] Got 1 sessions for ...
2024-08-02 09:29:56.673 [info] Getting sessions for all scopes...
2024-08-02 09:29:56.673 [info] Got 1 sessions for ...
2024-08-02 09:31:07.613 [info] Getting sessions for all scopes...
2024-08-02 09:31:07.613 [info] Got 1 sessions for ...
2024-08-02 09:31:19.761 [info] Getting sessions for all scopes...
2024-08-02 09:31:19.761 [info] Got 1 sessions for ...
2024-08-02 09:31:30.569 [info] Getting sessions for all scopes...
2024-08-02 09:31:30.569 [info] Got 1 sessions for ...
2024-08-02 09:31:32.768 [info] Getting sessions for all scopes...
2024-08-02 09:31:32.768 [info] Got 1 sessions for ...
2024-08-02 09:31:33.396 [info] Getting sessions for all scopes...
2024-08-02 09:31:33.396 [info] Got 1 sessions for ...
2024-08-02 09:32:22.157 [info] Getting sessions for all scopes...
2024-08-02 09:32:22.157 [info] Got 1 sessions for ...
2024-08-02 09:32:24.771 [info] Getting sessions for all scopes...
2024-08-02 09:32:24.771 [info] Got 1 sessions for ...
2024-08-02 09:32:28.284 [info] Getting sessions for all scopes...
2024-08-02 09:32:28.284 [info] Got 1 sessions for ...
2024-08-02 09:32:30.132 [info] Getting sessions for all scopes...
2024-08-02 09:32:30.132 [info] Got 1 sessions for ...
2024-08-02 09:32:35.530 [info] Getting sessions for all scopes...
2024-08-02 09:32:35.530 [info] Got 1 sessions for ...
2024-08-02 09:32:49.614 [info] Getting sessions for all scopes...
2024-08-02 09:32:49.614 [info] Got 1 sessions for ...
2024-08-02 09:32:55.100 [info] Getting sessions for all scopes...
2024-08-02 09:32:55.100 [info] Got 1 sessions for ...
2024-08-02 09:32:57.980 [info] Getting sessions for all scopes...
2024-08-02 09:32:57.981 [info] Got 1 sessions for ...
2024-08-02 09:33:01.543 [info] Getting sessions for all scopes...
2024-08-02 09:33:01.543 [info] Got 1 sessions for ...
2024-08-02 09:33:03.647 [info] Getting sessions for all scopes...
2024-08-02 09:33:03.647 [info] Got 1 sessions for ...
2024-08-02 09:33:08.015 [info] Getting sessions for all scopes...
2024-08-02 09:33:08.015 [info] Got 1 sessions for ...
2024-08-02 09:33:11.783 [info] Getting sessions for all scopes...
2024-08-02 09:33:11.783 [info] Got 1 sessions for ...
2024-08-02 09:33:14.685 [info] Getting sessions for all scopes...
2024-08-02 09:33:14.685 [info] Got 1 sessions for ...
2024-08-02 09:33:16.048 [info] Getting sessions for all scopes...
2024-08-02 09:33:16.048 [info] Got 1 sessions for ...
2024-08-02 09:33:30.831 [info] Getting sessions for all scopes...
2024-08-02 09:33:30.831 [info] Got 1 sessions for ...
2024-08-02 09:33:33.270 [info] Getting sessions for all scopes...
2024-08-02 09:33:33.270 [info] Got 1 sessions for ...
2024-08-02 09:33:37.834 [info] Getting sessions for all scopes...
2024-08-02 09:33:37.834 [info] Got 1 sessions for ...
2024-08-02 09:33:38.533 [info] Getting sessions for all scopes...
2024-08-02 09:33:38.533 [info] Got 1 sessions for ...
2024-08-02 09:35:10.557 [info] Getting sessions for all scopes...
2024-08-02 09:35:10.557 [info] Got 1 sessions for ...
2024-08-02 09:35:11.583 [info] Getting sessions for all scopes...
2024-08-02 09:35:11.583 [info] Got 1 sessions for ...
2024-08-02 09:35:17.974 [info] Getting sessions for all scopes...
2024-08-02 09:35:17.974 [info] Got 1 sessions for ...
2024-08-02 09:35:18.758 [info] Getting sessions for all scopes...
2024-08-02 09:35:18.758 [info] Got 1 sessions for ...
2024-08-02 09:35:21.285 [info] Getting sessions for all scopes...
2024-08-02 09:35:21.285 [info] Got 1 sessions for ...
2024-08-02 09:35:22.542 [info] Getting sessions for all scopes...
2024-08-02 09:35:22.542 [info] Got 1 sessions for ...
2024-08-02 09:35:31.949 [info] Getting sessions for all scopes...
2024-08-02 09:35:31.949 [info] Got 1 sessions for ...
2024-08-02 09:35:38.194 [info] Getting sessions for all scopes...
2024-08-02 09:35:38.194 [info] Got 1 sessions for ...
2024-08-02 09:35:41.587 [info] Getting sessions for all scopes...
2024-08-02 09:35:41.587 [info] Got 1 sessions for ...
2024-08-02 09:35:59.809 [info] Getting sessions for all scopes...
2024-08-02 09:35:59.809 [info] Got 1 sessions for ...
2024-08-02 09:36:16.895 [info] Getting sessions for all scopes...
2024-08-02 09:36:16.895 [info] Got 1 sessions for ...
2024-08-02 09:36:24.965 [info] Getting sessions for all scopes...
2024-08-02 09:36:24.965 [info] Got 1 sessions for ...
2024-08-02 09:36:27.537 [info] Getting sessions for all scopes...
2024-08-02 09:36:27.537 [info] Got 1 sessions for ...
2024-08-02 09:36:28.791 [info] Getting sessions for all scopes...
2024-08-02 09:36:28.791 [info] Got 1 sessions for ...
2024-08-02 09:36:30.126 [info] Getting sessions for all scopes...
2024-08-02 09:36:30.126 [info] Got 1 sessions for ...
2024-08-02 09:36:33.055 [info] Getting sessions for all scopes...
2024-08-02 09:36:33.055 [info] Got 1 sessions for ...
2024-08-02 09:36:42.459 [info] Getting sessions for all scopes...
2024-08-02 09:36:42.459 [info] Got 1 sessions for ...
2024-08-02 09:38:36.913 [info] Getting sessions for all scopes...
2024-08-02 09:38:36.913 [info] Got 1 sessions for ...
2024-08-02 09:39:22.127 [info] Getting sessions for all scopes...
2024-08-02 09:39:22.127 [info] Got 1 sessions for ...
2024-08-02 09:39:28.320 [info] Getting sessions for all scopes...
2024-08-02 09:39:28.320 [info] Got 1 sessions for ...
2024-08-02 09:39:39.361 [info] Getting sessions for all scopes...
2024-08-02 09:39:39.361 [info] Got 1 sessions for ...
2024-08-02 09:39:40.342 [info] Getting sessions for all scopes...
2024-08-02 09:39:40.342 [info] Got 1 sessions for ...
2024-08-02 09:39:48.558 [info] Getting sessions for all scopes...
2024-08-02 09:39:48.558 [info] Got 1 sessions for ...
2024-08-02 09:39:48.842 [info] Getting sessions for all scopes...
2024-08-02 09:39:48.842 [info] Got 1 sessions for ...
2024-08-02 09:39:49.140 [info] Getting sessions for all scopes...
2024-08-02 09:39:49.140 [info] Got 1 sessions for ...
2024-08-02 09:39:54.602 [info] Getting sessions for all scopes...
2024-08-02 09:39:54.602 [info] Got 1 sessions for ...
2024-08-02 09:40:06.035 [info] Getting sessions for all scopes...
2024-08-02 09:40:06.035 [info] Got 1 sessions for ...
2024-08-02 09:40:17.418 [info] Getting sessions for all scopes...
2024-08-02 09:40:17.418 [info] Got 1 sessions for ...
2024-08-02 09:40:21.434 [info] Getting sessions for all scopes...
2024-08-02 09:40:21.434 [info] Got 1 sessions for ...
2024-08-02 09:42:01.862 [info] Getting sessions for all scopes...
2024-08-02 09:42:01.862 [info] Got 1 sessions for ...
2024-08-02 09:42:04.949 [info] Getting sessions for all scopes...
2024-08-02 09:42:04.949 [info] Got 1 sessions for ...
2024-08-02 09:42:05.649 [info] Getting sessions for all scopes...
2024-08-02 09:42:05.649 [info] Got 1 sessions for ...
2024-08-02 09:42:36.063 [info] Reading sessions from keychain...
2024-08-02 09:42:36.063 [info] Getting sessions for all scopes...
2024-08-02 09:42:36.063 [info] Getting sessions for all scopes...
2024-08-02 09:42:36.064 [info] Getting sessions for user:email...
2024-08-02 09:42:36.092 [info] Got stored sessions!
2024-08-02 09:42:36.092 [info] Got 1 verified sessions.
2024-08-02 09:42:36.093 [info] Got 1 sessions for ...
2024-08-02 09:42:36.093 [info] Got 1 sessions for ...
2024-08-02 09:42:36.093 [info] Got 1 sessions for user:email...
2024-08-02 09:42:36.122 [info] Getting sessions for user:email...
2024-08-02 09:42:36.122 [info] Got 1 sessions for user:email...
2024-08-02 09:42:36.134 [info] Getting sessions for all scopes...
2024-08-02 09:42:36.134 [info] Got 1 sessions for ...
2024-08-02 09:42:36.431 [info] Getting sessions for all scopes...
2024-08-02 09:42:36.431 [info] Got 1 sessions for ...
2024-08-02 09:42:37.713 [info] Getting sessions for all scopes...
2024-08-02 09:42:37.713 [info] Got 1 sessions for ...
2024-08-02 09:42:44.904 [info] Getting sessions for read:user,repo,user:email...
2024-08-02 09:42:44.904 [info] Got 0 sessions for read:user,repo,user:email...
2024-08-02 09:42:45.137 [info] Getting sessions for all scopes...
2024-08-02 09:42:45.137 [info] Got 1 sessions for ...
2024-08-02 09:43:38.393 [info] Getting sessions for all scopes...
2024-08-02 09:43:38.393 [info] Got 1 sessions for ...
2024-08-02 09:43:47.578 [info] Getting sessions for all scopes...
2024-08-02 09:43:47.578 [info] Got 1 sessions for ...
2024-08-02 09:48:01.519 [info] Getting sessions for all scopes...
2024-08-02 09:48:01.519 [info] Got 1 sessions for ...
